9,36,17,1,3,49,1,7,0,,
9,36,1,1,0,54,1,4,0,,
9,36,4,2,0,46,1,9,0,,
9,36,20,1,0,61,1,11,0,,
9,36,20,2,0,37,1,7,0,,
16,37,1,1,0,54,1,2,1,,
16,37,4,1,0,69,1,5,0,,
16,37,35,1,0,47,1,1,0,,
16,37,36,1,0,38,1,1,0,,
16,37,20,1,0,68,1,5,0,,
16,37,5,3,0,0,2,3,0,,
16,38,1,1,0,47,1,9,1,,
16,38,4,1,1,51,1,5,0,,
16,38,36,2,0,56,1,2,0,,
16,38,37,1,1,42,1,1,0,,
16,38,35,1,0,45,1,9,0,,
7,39,1,1,4,48,4,5,1,,
7,39,12,2,0,65,4,2,0,,
7,39,10,1,3,59,4,2,0,,
7,39,4,1,0,37,4,7,0,,
7,39,5,3,0,0,2,3,0,,
7,39,38,1,0,62,4,2,0,,
17,40,39,2,0,70,4,12,1,,
17,40,1,2,0,47,4,2,0,,
17,40,10,1,1,47,4,2,0,,
17,40,5,3,0,0,2,3,0,,
6,41,4,1,7,63,4,9,1,,
6,41,10,1,0,56,4,4,0,,
6,41,1,2,40,49,4,5,0,,
15,42,1,1,3,53,4,2,1,,
3,42,40,1,4,50,4,2,1,,
15,42,6,1,5,34,4,10,1,,
15,42,41,1,0,55,4,2,0,,
3,42,21,1,9,67,4,1,0,,
3,42,20,1,2,41,4,5,0,,
3,42,4,1,0,56,4,1,0,,
15,42,20,1,0,62,4,5,0,,
15,42,5,3,0,0,2,3,0,,
15,42,42,1,1,42,1,5,0,,
15,42,20,1,0,43,4,5,0,,
15,42,43,1,0,35,4,2,0,,
15,42,20,1,0,58,3,10,0,,
15,42,44,1,0,46,4,5,0,,
18,43,1,1,2,49,1,5,1,,
18,43,4,1,0,76,1,2,0,,
18,43,20,1,0,68,1,2,0,,
18,43,45,1,0,61,1,5,0,,
18,43,37,1,0,39,1,8,0,,
18,43,5,3,0,0,2,3,0,,
2,44,14,1,0,45,4,9,1,,
2,44,1,1,1,40,4,1,0,,
2,45,1,2,2,34,4,9,0,,
2,45,14,1,3,40,4,2,0,,
2,45,4,1,5,66,4,5,0,,
19,46,1,1,0,68,4,9,1,,
19,46,4,2,0,38,4,5,0,,
2,47,1,1,1,63,4,2,1,,
2,47,46,1,0,40,4,2,0,,
7,48,4,1,7,63,4,7,1,,
7,48,12,1,9,55,4,1,0,,
7,48,1,1,0,55,4,5,0,,
7,48,5,3,0,0,2,3,0,,
7,48,20,1,0,38,3,8,0,,
7,48,13,1,0,66,4,5,0,,
2,49,1,1,0,73,3,7,1,,
2,49,14,1,1,60,3,1,0,,
2,49,4,2,7,38,3,5,0,,
2,49,5,3,0,0,2,3,0,,
20,50,1,1,0,66,4,6,1,,
20,50,4,1,0,53,4,1,0,,
20,50,6,1,6,68,4,6,0,,
20,50,20,1,0,62,4,5,0,,
17,51,1,1,7,64,4,5,1,,
17,51,39,1,0,51,4,6,0,,
17,51,4,1,0,46,4,9,0,,
2,52,1,1,2,62,4,5,1,,
2,52,14,1,5,56,4,6,0,,
